time,conc,errup,errlow,sd
0.25,0,0,0,0
0.5,0.87379721,5.51646805,0.87379721,6.267605634
0.75,0.958547014,0.958547014,0.958547014,0
1,2.295469751,2.295469751,2.295469751,0
1.5,1.291115937,1.291115937,1.291115937,0
2,11.78925404,20.55294731,4.903495044,21.12676056
3,6.494522692,11.18935837,6.494522692,6.338028165
4,4.799165363,12.15440793,4.799165363,9.929577465
6,5.633802817,11.26760563,5.633802817,7.605633798
