time,conc,errup,errlow,sd
0.25,0.141643059,0.141643059,0.141643059,0
0.5,0.212464589,1.841359773,0.212464589,2.199008498
0.75,0.212464589,2.407932011,0.212464589,2.96388102
1,0.566572238,3.824362606,0.566572238,4.398016997
1.5,2.83286119,6.090651558,2.83286119,4.398016997
2,6.373937677,8.781869688,2.974504249,7.839943343
3,9.773371105,13.45609065,6.657223796,9.178470253
4,13.88101983,15.29745042,10.33994334,6.692634558
6,10.69405099,13.45609065,10.69405099,3.728753541
