time,conc,errup,errlow,sd
0.25,0.113961193,0.113961193,0.113961193,0
0.5,0.149797605,0.149797605,0.149797605,0
0.75,0.068411781,0.068411781,0.068411781,0
1,0.065150737,0.065150737,0.065150737,0
1.5,1.074285867,3.652368569,1.074285867,3.480411648
2,4.349004575,4.349004575,4.349004575,0
3,3.945371563,7.851610605,3.945371563,5.273422707
4,6.35423066,9.166722771,4.088612016,6.855449519
6,9.531328458,9.531328458,7.187549968,3.164100962
