time,conc,errup,errlow,sd
0.25,46.41282059,52.66274838,36.56914279,21.72636755
0.5,29.38814117,38.76342999,26.10689117,17.08632741
0.75,21.58199515,28.76949515,21.58199515,9.703125
1,17.83863794,23.15106573,17.83863794,7.171777517
1.5,16.9141347,16.9141347,12.2266347,6.328125
2,15.20838147,19.58338147,15.20838147,5.90625
3,9.765625,9.765625,9.765625,0
4,7.135512939,7.135512939,7.135512939,0
6,3.125,3.125,3.125,0
